Date,Category,Amount,Payment Method,Merchant,Location,Income/Expense,User ID,Transaction ID,Account Balance,Currency,Transaction Time,Day of Week
2020-05-11,Dining,28556.65,Net Banking,Reliance Fresh,Pune,Expense,904c0b1e-33f1-45e4-bbe9-438eab4fb017,ca56b722-308c-4e8a-b0c6-dc22a8f450e0,120275.85,INR,16:10:13,Friday
2022-04-09,Transportation,21777.42,Credit Card,Flipkart,Ahmedabad,Income,85deb9f7-2df5-41bb-898c-b77a742e3fa3,df21b96a-9db1-4f90-adeb-7a5a61ddc90f,340653.29,INR,15:40:15,Tuesday
2021-07-30,Dining,34452.62,Cash,Big Bazaar,Kolkata,Income,7395c435-3fd7-4aec-ae56-c42cee27555b,5faa251d-74a7-4d03-a8f3-e489997b7552,124648.55,INR,00:03:42,Tuesday
2020-04-23,Entertainment,683.15,Cash,Amazon,Bengaluru,Expense,520910bf-7e51-4e49-add4-92ce768d415c,c6ca33ca-f12d-400f-937b-e837d9d06d4b,194982.1,INR,05:42:06,Thursday
2022-07-29,Groceries,31374.48,UPI,BookMyShow,Delhi,Expense,d318aecf-cf3f-4b65-9b52-48192f64333a,670efc44-c069-4535-8e97-e401fd3297b1,28369.92,INR,23:34:57,Monday
2022-07-04,Entertainment,15302.09,Cash,Amazon,Delhi,Expense,aa8e603a-6d8f-4abe-af83-79bb81e6884d,f4425a2b-a2d2-4dbd-a2ed-2d98950ca894,43566.99,INR,10:33:33,Saturday
2021-04-11,Groceries,38577.89,Credit Card,Swiggy,Delhi,Income,d81e3a8a-1001-4ec5-911a-d861e6271360,c9951d1b-1d46-4bf5-947f-1f909ae235b5,423479.19,INR,23:56:32,Monday
2020-11-05,Health,46588.41,Cash,BookMyShow,Hyderabad,Expense,f623bbd5-fc0c-4728-9d8e-658996a0eb60,352da6a7-90da-469a-83d6-e3065dab8118,449556.09,INR,02:34:38,Saturday
2020-03-22,Shopping,11841.48,Credit Card,BookMyShow,Kolkata,Income,7dc9fdc9-ba73-4450-9492-2f160c2435e3,9446d6f9-494b-4b3f-a8c4-e368733e32a6,145620.25,INR,09:57:24,Friday
2023-02-10,Entertainment,40965.36,Cash,BookMyShow,Bengaluru,Expense,d2d3592a-1c2c-4f64-83cb-4dc03ce47dca,fe878e1f-5b4a-480d-847d-f2e612f01a89,156876.93,INR,04:43:03,Monday
2020-09-16,Health,5546.68,Cash,Big Bazaar,Hyderabad,Income,e59f4590-7781-465a-9377-973529b63b89,a8fbd534-23c7-475d-b440-d25362d5c907,385803.06,INR,03:40:53,Wednesday
2023-12-24,Entertainment,49150.78,Debit Card,Swiggy,Pune,Expense,54f3da2a-2e5d-482f-ac7c-1a29af92c5be,8314aece-c04f-4371-8756-f285009b25f5,181752.96,INR,08:45:10,Friday
2020-07-11,Dining,23846.76,Net Banking,Swiggy,Bengaluru,Expense,6b48cf85-5026-49e3-bd10-e4fdf2b7d100,8fd4c986-64e0-4b16-952f-4d9f122ac6d0,219803.78,INR,07:24:09,Sunday
2020-08-22,Utilities,28632.12,Credit Card,BookMyShow,Kolkata,Income,2a90c337-0ad4-4ed8-9e41-f532f7b01a76,e132bead-f5a5-4c75-a945-7f18df1e61d8,404330.76,INR,19:22:22,Thursday
2023-09-21,Groceries,17548.06,Credit Card,Uber,Hyderabad,Expense,563358a4-e06f-4f07-ba25-df2543c2ae45,24c4d05d-32b1-4815-9ac4-16520b6681f2,182155.37,INR,21:28:07,Friday
2022-11-03,Utilities,39546.23,Net Banking,BookMyShow,Hyderabad,Income,e3bf4363-3461-4c52-904e-e9ff55c4d0c8,d8a80988-b8e6-40e3-b08e-22ad20ef2562,169985.65,INR,17:51:20,Saturday
2023-05-21,Entertainment,38550.48,Net Banking,Zomato,Bengaluru,Expense,89a30425-a3f7-4e2c-b0f3-2c67416fe70c,2c477e2a-18e7-4e66-9100-e5e9ceaf7c8f,48149.13,INR,04:37:51,Saturday
2022-11-08,Groceries,41626.04,UPI,Amazon,Ahmedabad,Income,c8b814dd-f6a4-48c2-ade0-99ba3732cdc9,a3d539d9-78b5-4123-8287-c19890297ef8,62928.85,INR,04:07:34,Friday
2020-09-28,Entertainment,34932.54,Net Banking,BookMyShow,Chennai,Expense,fffa67e3-747e-4adc-aa88-0f00436eb284,764f32d2-7046-474e-9662-6694d53520c7,135187.09,INR,22:54:14,Sunday
2023-04-09,Dining,39170.7,Credit Card,Reliance Fresh,Bengaluru,Expense,e9daa54d-15f9-4f06-aef7-c92cfdca6918,c8ba9b32-cf0b-4392-ad9a-0568318ee04c,281975.97,INR,12:16:04,Monday
2020-01-31,Health,15522.03,Debit Card,Reliance Fresh,Pune,Expense,19789e5d-3941-4e3a-83de-87db8ba99779,53a27112-73d4-4959-852d-cb7641b600a4,231750.91,INR,05:10:04,Wednesday
2020-08-02,Utilities,13660.1,UPI,Swiggy,Kolkata,Income,38a99729-377e-4d9a-b2bb-f35cef9041a5,a1dd6fb1-c41e-4263-8e2a-280872a7a574,229488.58,INR,08:54:12,Tuesday
2020-11-23,Groceries,21983.81,Net Banking,Flipkart,Bengaluru,Income,dd93bd07-4589-4274-a70d-1a837816088f,325a8c94-93fc-486a-907d-db68625b6d58,221405.96,INR,03:13:36,Monday
2021-12-07,Dining,22366.58,Credit Card,Uber,Mumbai,Income,784335ac-d695-46ea-aad2-6667b7764360,5560bea1-3323-4819-add7-cafc667a80a7,280741.83,INR,12:06:44,Tuesday
2024-06-16,Transportation,35634.58,Net Banking,Uber,Ahmedabad,Expense,a487c80e-522e-49c6-9974-645667c2eb82,8a6cc05c-97a6-4be2-addd-3c20d4dcfb34,76419.32,INR,20:57:41,Monday
2021-06-24,Utilities,46035.8,Credit Card,Swiggy,Hyderabad,Expense,ae366f74-bd66-475a-9dc5-5b8404aa774d,961ea9aa-b2c1-4265-ae93-006276bf26bb,417072.79,INR,15:55:50,Wednesday
2020-05-01,Health,30076.66,Credit Card,Reliance Fresh,Mumbai,Income,3bbf2354-63e6-4664-9cac-56e0492b4d55,9bfa7281-9298-417d-8ffd-2bceebbdcfe3,423988.52,INR,20:52:10,Wednesday
2020-04-13,Utilities,21485.25,Cash,Big Bazaar,Chennai,Expense,c9728e0f-972b-41b5-9524-f1f2ab7d63f5,7eb87f61-fc3f-4d5d-8232-f56ed4a693cf,181439.69,INR,16:42:30,Wednesday
2023-04-29,Groceries,27880.13,UPI,Flipkart,Delhi,Income,be58966b-c341-497e-8ef8-0c9e4fa61455,c13f90a6-8ce9-4f63-8315-e62f5787f4ec,321158.92,INR,03:37:27,Wednesday
2023-10-05,Shopping,41611.11,Net Banking,Swiggy,Hyderabad,Expense,5c31c077-c521-4e8d-94ad-78aacccc38b7,73bd3a95-0088-4ec2-acb3-b126f397af53,235255.41,INR,17:35:01,Friday
2020-05-31,Groceries,14878.21,Cash,BookMyShow,Mumbai,Income,68cf06d3-990a-4cf4-8391-e30fdccc6861,5357e2bb-0790-4700-ae8c-8f9cc0b4505b,123495.0,INR,19:16:26,Wednesday
2022-03-20,Utilities,17158.88,Net Banking,Flipkart,Bengaluru,Expense,472c1a1c-e9c4-44cf-941a-da8141a00e23,1d683b5a-fa7e-49a1-abf6-2b2445c75c21,335397.41,INR,10:08:27,Friday
2024-03-07,Shopping,30152.26,UPI,BookMyShow,Chennai,Expense,411e1217-2513-4b00-962a-79092fdfa60e,af578dcd-5c59-44d6-be87-b80b18965333,499190.78,INR,04:40:35,Wednesday
2021-03-27,Groceries,7346.44,Net Banking,BookMyShow,Ahmedabad,Income,e93a915e-1bbc-47c0-9e0a-3a516d0bdd50,d23bdb43-d1f4-44fe-b75a-fbf03f6b1878,105131.66,INR,03:33:13,Monday
2023-02-04,Transportation,23860.56,Debit Card,Big Bazaar,Pune,Income,4bb6ef20-fa3e-42a8-b882-832c08feea09,086adc76-0531-4dd2-a109-a33a74d020a5,239990.25,INR,23:04:38,Wednesday
2021-02-25,Entertainment,38389.24,UPI,Reliance Fresh,Mumbai,Income,34b87023-4e0a-46fc-b70b-f9d89009d9e5,013e37de-c62d-4eff-b218-594f600488df,449807.04,INR,04:49:48,Wednesday
2021-10-24,Groceries,25581.84,Net Banking,Amazon,Delhi,Expense,4cd98f2c-9cc3-43c5-80d1-7672e28a62a3,148db435-605b-4e04-86db-cb26413cfcad,288999.76,INR,12:09:09,Monday
2024-02-04,Education,38909.54,UPI,BookMyShow,Ahmedabad,Expense,fa0c5aef-cc07-48ed-99b0-cbcf66d454d7,29bfcf20-e97a-448f-a4eb-dfe2f24cf79e,77435.18,INR,09:54:32,Monday
2024-05-05,Education,18003.98,Cash,Swiggy,Chennai,Expense,72c7ab14-4517-43c8-aae2-60a918010b55,3d412f10-c0b1-46fa-b113-14aecf1b4f5d,30917.91,INR,15:36:18,Sunday
2020-12-28,Health,39088.51,UPI,Reliance Fresh,Kolkata,Income,3576986b-6b9e-4e18-ab07-12e65d21c323,4caa0ceb-d1f3-48be-9d5e-a5f862711841,352780.57,INR,06:42:07,Wednesday
2020-07-04,Transportation,11943.91,Credit Card,Big Bazaar,Delhi,Expense,21cb1c5e-030b-48ae-9cf6-ce205c453291,a1491b48-6c31-4ec2-ba5a-f1b7fe72da99,393242.19,INR,21:23:42,Monday
2021-08-09,Groceries,10424.73,Net Banking,Flipkart,Hyderabad,Expense,7711ac79-13ae-47ef-92e2-efaef919cc6f,0ca60f26-bd4a-4a8b-9623-28a58d4aaefc,426261.08,INR,08:21:57,Sunday
2021-08-03,Shopping,46962.73,UPI,Flipkart,Ahmedabad,Expense,1115eda0-ac13-454a-ab01-1d5cc493300e,00a94d11-ab21-4d0a-8421-d145c45a4156,23884.97,INR,07:45:40,Tuesday
2024-01-05,Entertainment,17764.36,Debit Card,Uber,Pune,Expense,2df17e67-f38e-4bb8-aa91-928e62215821,51217e70-12d5-4108-8476-ac6a83b7d58c,366531.01,INR,14:44:59,Monday
2020-10-03,Groceries,7997.09,Net Banking,Reliance Fresh,Delhi,Income,a24e8c94-14bf-4c49-ba70-1242886c0345,a6fe8a36-c0e6-4eef-a753-775ad2d197c7,59973.3,INR,01:28:24,Tuesday
2021-07-01,Groceries,21896.69,Credit Card,Zomato,Mumbai,Expense,2aa26acf-766c-4de5-b060-39786845bedd,75749049-18f8-4b80-a493-91b48bcfc677,420376.62,INR,01:38:00,Friday
2021-04-26,Health,31602.56,Net Banking,Reliance Fresh,Bengaluru,Expense,3857f415-7473-450a-96e4-5f24d00f7622,05635ce0-72e7-434f-9caf-0802f3bdb380,389701.05,INR,09:10:42,Saturday
2021-08-13,Entertainment,36092.53,Debit Card,Reliance Fresh,Bengaluru,Expense,1d911c5e-a703-4260-9aaa-eba3d43cec76,30fdddd4-c8a0-447a-9f5d-2e134ecbc5bb,345159.07,INR,02:28:19,Sunday
2023-07-17,Entertainment,12610.86,Debit Card,Big Bazaar,Mumbai,Income,2392754f-4443-4730-82d7-98dc6d755369,363facb3-1cef-4f38-b334-5a4e1cf6851d,377520.74,INR,14:36:14,Sunday
2020-10-29,Groceries,46981.74,Net Banking,Big Bazaar,Chennai,Expense,56d9ba85-1a93-42ba-ab9a-77f2f7604c87,15a1a564-9c19-4523-a7f1-91c6b416726b,16818.64,INR,05:50:47,Monday
2024-02-09,Utilities,40637.14,UPI,Reliance Fresh,Pune,Expense,a717e219-6bed-4dc8-8634-83b3ca4cf8bc,1ae4a219-a494-46d7-a28c-f274326b1cf7,139821.73,INR,20:22:45,Sunday
2021-05-18,Groceries,14950.35,UPI,Uber,Mumbai,Income,992c88ca-c93c-4386-8a78-458a129550c6,feac1fda-4ca9-4360-9291-0a30aab212d6,439752.74,INR,06:55:39,Tuesday
2022-09-11,Utilities,11637.75,Cash,Amazon,Kolkata,Expense,370961d0-1e94-4ac1-a921-61861162f520,25cde375-70ee-491f-aa32-c16ece0b3052,199406.47,INR,08:05:56,Saturday
2021-09-16,Education,8567.02,UPI,Flipkart,Bengaluru,Income,b99f73e2-62df-4ff5-a52b-1a8d0b5e8b6f,b100dc85-baa8-4eb6-be86-abc3963a293f,133330.78,INR,07:52:35,Wednesday
2021-07-20,Groceries,42947.04,UPI,Zomato,Delhi,Expense,349a3aaa-8a83-4b22-a440-7297ead4a0da,01960b7c-2ff2-4fc0-aa85-f4031e9b4ae4,65225.31,INR,09:15:43,Thursday
2021-03-20,Education,43684.85,UPI,Amazon,Bengaluru,Income,bd67df5d-c755-4472-a17d-dacf8340d166,fc812dd9-ebbd-4075-9b2e-bc294c5d1b81,190880.52,INR,05:17:48,Sunday
2024-06-30,Entertainment,31582.62,Cash,Swiggy,Pune,Income,19b60033-35e3-412d-8b18-46bccc9cf77b,1a2fe98f-0e95-47a1-8f2e-3e0d838a14a6,271893.11,INR,22:02:19,Wednesday
2020-02-02,Entertainment,38774.19,UPI,Amazon,Pune,Income,5575a7e9-1d12-45de-8621-f903131a82db,5c1a1122-6858-4d94-900a-409e6c843c11,69868.96,INR,20:21:33,Saturday
2022-05-21,Shopping,44575.74,Credit Card,Zomato,Mumbai,Income,b20552b6-7276-48cf-8856-ead69d6338f3,c10c7778-e191-49dd-8d8f-620a40afe0ce,498454.12,INR,09:41:39,Monday
2020-03-01,Dining,20858.17,Credit Card,Flipkart,Pune,Income,a73245b4-5018-4d9b-ae36-5982ce468b4b,b6f2a9a8-19f7-40fb-a36d-a03e306ffe59,416709.67,INR,15:34:36,Monday
2022-11-19,Utilities,31522.08,Net Banking,Big Bazaar,Kolkata,Income,b89ba6e8-eead-4b40-a90d-78b36453cabd,97035efd-67de-483a-8df3-20f9e10b4864,455041.85,INR,19:37:44,Tuesday
2022-10-18,Education,46725.29,Cash,Flipkart,Pune,Income,63b44f84-a46b-4f23-86c2-2607263fe726,5330db88-b2fb-495c-ae1c-827489714ebd,462288.35,INR,13:38:57,Monday
2022-10-23,Utilities,44699.62,Cash,Amazon,Delhi,Income,ecbf375c-2a86-4cfa-a719-94c13472accf,a0728014-bb38-44aa-a916-34c1d25b41e5,361834.6,INR,05:54:27,Tuesday
2023-08-17,Entertainment,20024.74,Net Banking,Uber,Pune,Income,76c65157-641e-4648-b3fe-822a2546b5d3,8cc6f17d-9d0c-4c6c-a3a3-11a3eb99eded,217832.77,INR,14:13:24,Wednesday
2024-06-17,Entertainment,9558.66,Credit Card,BookMyShow,Bengaluru,Income,c9ff4791-3a43-4b5a-ada5-d47c31b92f7b,3780f3ab-e2bd-41c9-a1e3-e9766f053e8f,95556.55,INR,13:53:44,Wednesday
2020-05-26,Utilities,46012.49,Debit Card,Big Bazaar,Delhi,Expense,6846aa68-17da-4c51-ab35-eaddbfce5a91,f32eb586-2d92-47e1-964e-a4a3f2b40935,41084.88,INR,22:34:20,Tuesday
2023-08-23,Education,46185.55,UPI,Zomato,Chennai,Expense,fd67f2e5-0237-407c-a377-c8f157bb9768,f5262081-ab0e-46a3-8b93-a0ebe2c0163c,161045.2,INR,23:19:20,Thursday
2023-03-12,Education,383.18,Credit Card,Swiggy,Mumbai,Income,db3d274a-deab-4305-b092-617c43a66ec8,e9135b0d-a412-48d6-adfc-7ffba4266265,483394.91,INR,20:57:39,Friday
2023-05-15,Utilities,13361.32,Cash,Uber,Delhi,Income,82c1667f-88b7-445d-ac13-8a77e9aba5a2,66d3e596-88f1-4b0f-b5c2-bee57d0b03c8,71325.51,INR,04:40:40,Tuesday
2020-04-22,Dining,17380.74,Debit Card,Uber,Pune,Expense,3914691f-148f-4f2e-b863-c11bdc7b3363,e5aa8597-d9b9-46df-bdbd-97c7fcb73712,262792.12,INR,22:06:16,Saturday
2022-09-15,Dining,23086.26,UPI,Reliance Fresh,Pune,Income,dd983db5-6247-4b36-bb03-92c6e80d721b,7719a119-823a-4ac5-a7f1-bce377446d2b,263508.04,INR,18:12:21,Thursday
2022-01-18,Education,12258.8,Cash,BookMyShow,Delhi,Expense,e77f7252-7620-4fad-a924-6cb0c164988c,d59881b7-bd3f-4266-ad6a-5d461a55729a,109686.51,INR,06:22:52,Wednesday
2020-07-18,Health,834.82,Credit Card,Amazon,Kolkata,Income,7f8e00c1-9a56-4cbf-96fe-0d8b1e0b0213,2d246bee-9103-43b6-b525-27d45ab8499b,106178.69,INR,19:11:41,Saturday
2023-01-29,Dining,24020.65,UPI,Swiggy,Bengaluru,Expense,81af3d66-9ce6-4e4d-9b1d-f328852db07b,64895ea2-6214-419a-a644-949c4bcf7e0f,173417.55,INR,12:36:40,Tuesday
2022-03-20,Dining,18073.37,UPI,Flipkart,Chennai,Income,57bdd247-cccc-47f7-81bc-2d3994276251,7ae455da-1f1d-4810-ad2a-9379192286b4,8832.43,INR,01:23:32,Thursday
2022-09-01,Shopping,42527.46,Credit Card,Uber,Delhi,Expense,c697eb98-8ec9-45b7-9537-3535862aec6a,08bbbacc-4e6f-465a-80ac-bd1df1602a0f,439855.27,INR,13:07:47,Monday
2022-06-06,Dining,24492.41,UPI,Swiggy,Hyderabad,Income,2a135559-16ab-4460-aad1-77d5d53bc496,e79cbf18-4016-494a-90b1-8c188b4fda0a,479393.41,INR,15:52:17,Monday
2022-11-22,Dining,27553.54,Net Banking,Reliance Fresh,Chennai,Expense,7ebf9dfb-5d31-4edd-97f1-e303ad95c546,ef583e1e-a452-4c42-873b-0ff19ac0147f,137922.29,INR,14:14:18,Wednesday
2020-09-29,Entertainment,24016.55,Credit Card,Zomato,Chennai,Income,4f758d15-1718-4a95-aedd-dc4948b6f4e4,7fa540b4-3d3a-4921-8b92-a88c5dc7a608,136814.83,INR,10:25:13,Monday
2022-12-26,Dining,22521.85,UPI,Big Bazaar,Pune,Income,a438a722-9c45-480f-bf8e-1897657dd614,d9d4e303-b5b2-4d1d-b671-df595ff3b796,425504.23,INR,00:47:23,Saturday
2022-06-12,Education,6263.9,Cash,Uber,Mumbai,Expense,9f06c6ac-153f-4d02-b81d-0af859c21e89,ceec4216-b236-4d7f-9231-0dfccc6deae3,317596.03,INR,11:02:25,Friday
2024-05-04,Groceries,3396.37,Debit Card,BookMyShow,Ahmedabad,Expense,a3f66c60-90fb-4d24-90db-3c6600124d6b,462b80fb-ccd6-4d4c-a47d-a0a34699d4f5,154155.16,INR,21:20:52,Tuesday
2024-01-11,Health,29119.1,Net Banking,Reliance Fresh,Kolkata,Expense,fa4ada86-c40f-42de-9e9e-ed17b68c027c,cb3db202-8094-43fc-9b11-c1bc5f03f272,158097.09,INR,05:45:46,Friday
2022-03-26,Health,40919.95,Cash,Amazon,Delhi,Income,699619c3-8e6b-43b6-96ed-afc36702e740,86ab7f21-2cbe-453d-86c5-04ac4175a0de,178132.23,INR,19:23:03,Wednesday
2021-06-13,Shopping,48917.66,Net Banking,Swiggy,Chennai,Expense,1a96543c-efd8-45cd-9bbf-265f6a764ac6,01711cb2-5b21-49c8-8c18-257ba702316d,216893.14,INR,02:26:37,Monday
2020-11-30,Groceries,37044.15,Credit Card,BookMyShow,Delhi,Expense,a98b1abf-443f-4f28-ac13-02ac60503dc1,d0e7a3ae-0d2e-44f1-80e7-f42b3ba41a17,180522.72,INR,01:18:00,Monday
2020-02-15,Dining,35374.98,Credit Card,Zomato,Chennai,Expense,2e354e18-12e1-4f89-a395-1f9abef5a5a0,e06a47e4-7c6b-42a8-b855-e205a49de892,29277.79,INR,14:46:00,Friday
2023-08-01,Education,25754.46,UPI,Flipkart,Pune,Income,cb507da2-59e8-45d0-a747-cf11cdf6ca4c,950e0cfe-367d-442d-9b40-9d517b790d93,492122.72,INR,02:17:42,Tuesday
2024-07-13,Entertainment,45451.78,Debit Card,Flipkart,Chennai,Expense,989e2384-28c1-48cf-b768-4681f05b38ea,2f864b5d-0ad5-414f-8055-0b40d26ceaf2,354755.06,INR,09:23:47,Monday
2022-01-10,Utilities,9207.55,UPI,Uber,Hyderabad,Expense,eee1949a-9293-48c1-8afa-848950b5a3bb,b3597193-dcb1-4ff4-957b-7fe2ac14757e,495884.33,INR,22:26:03,Wednesday
2021-07-25,Utilities,26031.98,Debit Card,Swiggy,Kolkata,Income,aa6a0bfc-69ed-4a54-9853-68c4bac0078d,c0603d9c-1870-4df9-a04d-041446b01956,145016.4,INR,01:44:13,Tuesday
2020-02-15,Groceries,3331.72,Debit Card,Uber,Chennai,Expense,9eeeb270-53d2-4576-a60f-ac69de897254,362eda22-555e-4517-8b3f-a7f8ead12348,18997.76,INR,03:59:56,Sunday
2022-05-30,Education,311.79,Net Banking,Swiggy,Chennai,Income,5b8a8883-deb0-4314-a041-133394fe3ed2,5593aea7-4301-43a1-b096-fdf85a293677,317349.38,INR,10:39:05,Saturday
2022-04-30,Utilities,15364.92,Cash,Uber,Mumbai,Expense,475adef7-823e-4a0f-8cce-9e75023c37ad,086221c0-9c4f-428d-a8c4-66fa9435c562,48119.2,INR,10:41:14,Thursday
2024-03-25,Utilities,4019.36,UPI,Big Bazaar,Hyderabad,Income,19f3e562-d6c6-4fc9-9ebd-10fbdecff94d,28e293cd-ba52-4ac5-a603-b023bc756081,373914.75,INR,17:05:58,Sunday
2022-06-10,Shopping,36867.75,UPI,Big Bazaar,Ahmedabad,Income,896188bb-c31c-462c-a0f7-0059e91f65c0,b0b999ff-4783-47fe-afc1-64a1ce07669b,263541.27,INR,07:34:36,Wednesday
2023-12-28,Utilities,38270.96,UPI,Big Bazaar,Mumbai,Income,bcee6a8a-07d4-4e43-b461-fc8f871aa82d,26429aa1-7ae8-45bc-ac30-ca09e85918e2,116823.91,INR,21:04:40,Wednesday
2020-10-16,Entertainment,32428.25,Net Banking,Uber,Delhi,Expense,c707b823-954b-4a3d-88a2-44a84d7e5f4e,b10e5891-12e8-4cd6-b9d5-83cc89dfda96,59151.52,INR,06:39:00,Friday
2023-04-16,Shopping,24240.36,Debit Card,Uber,Delhi,Expense,f63bd84d-b12c-45b8-aeec-e03e9823b500,491fe77e-2914-4fd8-8fe2-21c34af20ab9,390239.55,INR,07:21:47,Monday
2020-12-31,Groceries,10292.3,Debit Card,Big Bazaar,Pune,Income,126b1e6f-7db6-49e8-bb21-6a37525d0046,d7779ed1-8624-42bf-86e6-763e20d81cd4,374852.9,INR,17:22:53,Thursday
2022-11-07,Transportation,30972.88,Credit Card,Flipkart,Bengaluru,Income,7aeea5c2-b14e-476d-84c2-7a9cc7c477e7,581a7b39-2649-488e-a3b9-7a1555685afa,491800.3,INR,11:10:46,Thursday
2022-05-16,Transportation,16979.11,UPI,Uber,Pune,Income,c8407491-39ef-499a-a29b-356a744a5934,d592a62c-86c1-46c5-bb9a-e001bdd84868,378910.96,INR,04:28:49,Sunday
2024-05-30,Health,29909.17,Debit Card,Uber,Kolkata,Expense,e25c9009-a53a-461e-9042-77febffdb977,7695cd75-b76e-4b44-aa09-81f1c4e326db,210179.73,INR,08:44:29,Tuesday
2020-04-03,Groceries,29083.02,Credit Card,Uber,Kolkata,Expense,78e22f85-3335-4548-a99e-3022f67b818f,94565b7d-6d9e-4c49-817e-21e5cf59cb5e,379349.96,INR,11:03:24,Wednesday
2022-12-09,Entertainment,30507.98,Debit Card,Flipkart,Hyderabad,Expense,d4c2071d-3caa-43f3-8645-3665bb2e6819,617e35eb-84ed-454e-a1b5-d03febced682,68723.94,INR,10:49:12,Thursday
2020-02-26,Dining,37023.98,Cash,Flipkart,Ahmedabad,Expense,b94d3bc1-491e-46b8-824f-287edf4eb2e3,85504d4a-448b-4d07-97dc-777620a58d1b,149825.38,INR,06:31:28,Friday
2021-03-23,Entertainment,4374.76,Cash,Swiggy,Delhi,Income,a388ab83-4673-4b4f-a219-fd2e697157de,7df9ed5c-ece2-48c1-ab7b-8569cc8d5d23,281013.24,INR,10:29:13,Thursday
